"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"3","Nezym","7","WIN","nader .",NA,"6-3-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"4","Nezym","6","WIN","Racsoh",NA,"6-3-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"5","Nezym","5","WIN","FlyAsAFlygon",NA,"3-4-0drop","Pikachu ex Zebstrika","Articuno ex Bruxish","beaniebrawl"
"6","Nezym","4","LOSS","Kaywi21",NA,"4-2-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"7","Nezym","3","WIN","Yain",NA,"3-2-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"8","Nezym","2","WIN","Coreia",NA,"3-6-0","Pikachu ex Zebstrika","Exeggutor ex Venusaur ex","beaniebrawl"
"9","Nezym","1","WIN","Azzareel",NA,"0-1-0drop","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","beaniebrawl"
"11","KH3PRI","8","LOSS","Oralet",NA,"8-3-1","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"12","KH3PRI","7","WIN","Jac Thiebeau",NA,"5-3-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"13","KH3PRI","6","LOSS","Jotapee",NA,"9-2-0","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"14","KH3PRI","5","WIN","Atmosphere",NA,"7-3-1","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"15","KH3PRI","4","WIN","Charmee",NA,"3-2-0drop","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"16","KH3PRI","3","WIN","Exno",NA,"2-4-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"17","KH3PRI","2","WIN","TheBannedBoy",NA,"3-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"18","KH3PRI","1","WIN","NickShanks",NA,"0-3-0drop","Pikachu ex Electrode","Marowak ex Sandslash","beaniebrawl"
"19","Juniorfrmos","9","WIN","James Arnold",NA,"6-3-0","Articuno ex Starmie ex","Arbok Weezing","beaniebrawl"
"20","Juniorfrmos","8","LOSS","NinoEx",NA,"8-3-0","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"21","Juniorfrmos","7","WIN","gugujoguinhos",NA,"5-4-0","Articuno ex Starmie ex","Marowak ex Sandslash","beaniebrawl"
"22","Juniorfrmos","6","WIN","Seizza",NA,"5-4-0","Articuno ex Starmie ex","Articuno ex Starmie ex","beaniebrawl"
"23","Juniorfrmos","5","WIN","Krohnos",NA,"3-2-0drop","Articuno ex Starmie ex","Melmetal Weezing","beaniebrawl"
"24","Juniorfrmos","4","WIN","dada1",NA,"3-3-0drop","Articuno ex Starmie ex","Articuno ex Starmie ex","beaniebrawl"
"25","Juniorfrmos","3","LOSS","Spectra75",NA,"5-4-0","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"26","Juniorfrmos","2","WIN","pogi",NA,"1-2-0drop","Articuno ex Starmie ex","Exeggutor ex Venusaur ex","beaniebrawl"
"27","Juniorfrmos","1","WIN","Hope",NA,"3-2-0drop","Articuno ex Starmie ex","Charizard ex Moltres ex","beaniebrawl"
"30","Drayke","7","LOSS","Jotapee",NA,"9-2-0","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"31","Drayke","6","WIN","Gualo",NA,"5-2-0drop","Pikachu ex Zebstrika","Articuno ex Starmie ex","beaniebrawl"
"32","Drayke","5","WIN","Mantelnor",NA,"4-3-0drop","Pikachu ex Zebstrika","Articuno ex","beaniebrawl"
"33","Drayke","4","WIN","mILANGAs",NA,"9-3-1","Pikachu ex Zebstrika","Articuno ex","beaniebrawl"
"34","Drayke","3","WIN","Rulacio",NA,"3-2-0drop","Pikachu ex Zebstrika","Venusaur ex Lilligant","beaniebrawl"
"35","Drayke","2","WIN","WhiteMan",NA,"2-3-0drop","Pikachu ex Zebstrika","Articuno ex Dragonite","beaniebrawl"
"36","Drayke","1","WIN","Resh",NA,"9-3-1","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"37","dont_eat_me","9","WIN","jimindobts123",NA,"6-3-0","Pikachu ex Zapdos ex","Pikachu ex Electrode","beaniebrawl"
"38","dont_eat_me","8","WIN","Curupira",NA,"6-3-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","beaniebrawl"
