"","Placement","Player","Country","Points","Deck","tournament","Pokemon1","Pokemon2"
"1",1,"Nezym","Switzerland","38","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"2",2,"KH3PRI","United States","34","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"3",3,"Juniorfrmos","Brazil","33","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"4",4,"Drayke","Brazil","32","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"5",5,"dont_eat_me","United States","30","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"6",6,"Resh","Unknown","28","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"7",7,"Xeloo","Chile","28","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"8",8,"mILANGAs","Argentina","28","Articuno ex","beaniebrawl","Articuno","ex"
"9",9,"MaximusAle","Brazil","30","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"10",10,"FeliredVD","Peru","30","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"11",11,"BHB・Luna Y","United States","28","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"12",12,"Juan Rodriguez","Germany","25","Machamp ex Marowak ex","beaniebrawl","Machamp ex","Marowak ex"
"13",13,"Oralet","Ireland","25","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"14",14,"excaliblarg","United States","25","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"15",15,"Ryzeoverrun","Australia","25","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"16",16,"Arylide","Unknown","25","Marowak ex Pidgeot","beaniebrawl","Marowak ex","Pidgeot"
"17",17,"Jotapee","Spain","27","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"18",18,"MommyMIlkers","United States","26","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"19",19,"BigTingz","United States","25","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"20",20,"ZOINKS","United States","25","Exeggutor ex Victreebel","beaniebrawl","Exeggutor ex","Victreebel"
"21",21,"NinoEx","Panama","24","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"22",22,"Luke Shore-Jones","Great Britain","24","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"23",23,"bk7","Brazil","24","Starmie ex Greninja","beaniebrawl","Starmie ex","Greninja"
"24",24,"VartanCaftel","Peru","24","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"25",25,"littledarkfury","Canada","23","Wigglytuff ex Weezing","beaniebrawl","Wigglytuff ex","Weezing"
"26",26,"Soaked_Leaf6","United States","23","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"27",27,"Atmosphere","United States","22","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"28",28,"Gamerboy365","United States","22","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"29",29,"Rhys G","Great Britain","22","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"30",30,"GloriWasHere","United States","22","Articuno ex Greninja","beaniebrawl","Articuno ex","Greninja"
"31",31,"Waldmann","Brazil","22","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"32",32,"Sacredpunish","United States","22","Dragonite Weezing","beaniebrawl","Dragonite","Weezing"
"33",33,"OhSnap","United States","19","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"34",34,"Mia Nilian","Great Britain","19","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"35",35,"nacseo","Germany","19","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"36",36,"James Arnold","United States","18","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"37",37,"Curupira","Brazil","18","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"38",38,"iLoveQueijo","Brazil","18","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"39",39,"Nidha","Spain","18","Venusaur ex Lilligant","beaniebrawl","Venusaur ex","Lilligant"
"40",40,"nader .","Brazil","18","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"41",41,"Pokelucas","Brazil","18","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"42",42,"Jhonnycito","Colombia","18","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"43",43,"gustaf","Korea","18","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"44",44,"jimindobts123","Brazil","18","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"45",45,"MiiiMario","Trinidad and Tobago","18","Starmie ex Tentacruel","beaniebrawl","Starmie ex","Tentacruel"
"46",46,"Ant ","Malaysia","18","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"47",47,"Marioha","Dominican Republic","18","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"48",48,"ItsMik3yTime","United States","18","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
