"","Player","Round","Result","Opponent","PlayerDeck","OpponentDeck"
"2","saitama",9,"WIN","sadgible","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"3","saitama",8,"WIN","Bonez","Pikachu ex Zapdos ex","Ninetales Rapidash"
"4","saitama",7,"WIN","VampRook","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"5","saitama",6,"LOSS","koke_outon","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"6","saitama",5,"WIN","thrae","Pikachu ex Zapdos ex","Wigglytuff ex Weezing"
"7","saitama",4,"WIN","Yunikin","Pikachu ex Zapdos ex","Marowak ex Primeape"
"8","saitama",3,"WIN","Sushikraver","Pikachu ex Zapdos ex","Marowak ex Primeape"
"9","saitama",2,"WIN","RonkaX","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"10","saitama",1,"WIN","iplongno","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"11","TiltingShiba",10,"WIN","EEE","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"13","TiltingShiba",8,"WIN","comatthew6","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"14","TiltingShiba",7,"WIN","MaesWins","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"15","TiltingShiba",6,"WIN","VampRook","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"16","TiltingShiba",5,"WIN","Tenya","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"17","TiltingShiba",4,"WIN","Serdito","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"18","TiltingShiba",3,"WIN","Ceppetto","Mewtwo ex Gardevoir","Alakazam Weezing"
"19","TiltingShiba",2,"WIN","Kenz","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"20","TiltingShiba",1,"WIN","ki_mamama","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"21","EEE",10,"LOSS","TiltingShiba","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"22","EEE",9,"WIN","franco2796","Pikachu ex Zebstrika","Charizard ex Moltres ex"
"23","EEE",8,"WIN","johnnychiou36","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"24","EEE",7,"WIN","koke_outon","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"25","EEE",6,"WIN","TheGodsEye","Pikachu ex Zebstrika","Pikachu ex Raichu"
"26","EEE",5,"WIN","Anomi","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"27","EEE",4,"WIN","MutantFreak","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"28","EEE",3,"WIN","minsu","Pikachu ex Zebstrika","Mewtwo ex Hypno"
"29","EEE",2,"WIN","davenznk","Pikachu ex Zebstrika","Pikachu ex Zebstrika"
"30","EEE",1,"WIN","Tolga1206","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"32","GoofGG",9,"WIN","Pinguim","Charizard ex Moltres ex","Alakazam Weezing"
"33","GoofGG",8,"WIN","Sigphale","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"34","GoofGG",7,"WIN","airya","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"35","GoofGG",6,"WIN","olieeeeeeeeev","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"36","GoofGG",5,"WIN","t1al","Charizard ex Moltres ex","Articuno ex"
"37","GoofGG",4,"WIN","Lukeee36","Charizard ex Moltres ex","Alakazam Weezing"
"38","GoofGG",3,"WIN","Shiraaz","Charizard ex Moltres ex","Articuno ex Dragonite"
"39","GoofGG",2,"WIN","Jack B","Charizard ex Moltres ex","Ninetales Rapidash"
"40","GoofGG",1,"LOSS","Initard","Charizard ex Moltres ex","Pikachu ex Raichu"
"42","franco2796",9,"LOSS","EEE","Charizard ex Moltres ex","Pikachu ex Zebstrika"
"43","franco2796",8,"WIN","ShadoHound","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"44","franco2796",7,"WIN","PSukiyama","Charizard ex Moltres ex","Charizard ex Moltres ex"
"45","franco2796",6,"WIN","Krohnos","Charizard ex Moltres ex","Marowak ex Sandslash"
"46","franco2796",5,"WIN","Leoner","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"47","franco2796",4,"WIN","gibsantos","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"48","franco2796",3,"WIN","TheTritriTyrant","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"49","franco2796",2,"WIN","Suhol","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"50","franco2796",1,"WIN","Jowooooow","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"52","NinoEx",9,"WIN","OhNoimGINGER","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"53","NinoEx",8,"WIN","leomc","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
